epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,98.7148,0.63967,0.83516,0.65811,0.81802,0,0.87458,0.84313,0.91898,0.77639,0.87458,0.84313,0.91898,0.71356,0.61919,1.1281,0.75798,0.87579,0,0.000190924,0.000190924,0.000190924
39,101.244,0.64932,0.85627,0.63891,0.81432,0,0.84736,0.84567,0.91068,0.76674,0.84736,0.84567,0.91022,0.70884,0.63362,1.11941,0.77041,0.87863,0,0.000176786,0.000176786,0.000176786
40,103.768,0.64007,0.837,0.63474,0.81865,0,0.8109,0.86207,0.90954,0.76454,0.8109,0.86207,0.90954,0.69502,0.64466,1.1288,0.79339,0.88538,0,0.000162649,0.000162649,0.000162649
41,107.08,0.60612,0.797,0.68456,0.80761,0,0.81687,0.86334,0.90795,0.76645,0.81687,0.86334,0.90736,0.69913,0.6263,1.13752,0.80415,0.87673,0,0.000148512,0.000148512,0.000148512
42,109.536,0.59947,0.80367,0.65852,0.81028,0,0.8121,0.86076,0.90246,0.75565,0.8121,0.86076,0.90247,0.70642,0.64911,1.08316,0.80143,0.8838,0,0.000134375,0.000134375,0.000134375
43,111.975,0.59898,0.7895,0.64114,0.81142,0,0.85633,0.85623,0.92222,0.7757,0.85633,0.85623,0.92224,0.71203,0.6273,1.11056,0.74506,0.8751,0,0.000120238,0.000120238,0.000120238
44,114.489,0.57742,0.78218,0.62798,0.80348,0,0.81313,0.88798,0.92209,0.77426,0.81313,0.88798,0.92168,0.7189,0.6326,1.13002,0.7408,0.87256,0,0.0001061,0.0001061,0.0001061
45,116.952,0.58519,0.78547,0.6255,0.81216,0,0.83295,0.85805,0.91152,0.76736,0.83295,0.85805,0.91167,0.70917,0.63571,1.09511,0.77103,0.87664,0,9.19632e-05,9.19632e-05,9.19632e-05
46,119.454,0.57871,0.77812,0.6174,0.81075,0,0.80318,0.88424,0.91131,0.77111,0.80318,0.88424,0.91165,0.71206,0.62399,1.11781,0.75994,0.87675,0,7.7826e-05,7.7826e-05,7.7826e-05
47,121.896,0.56866,0.77366,0.60501,0.80457,0,0.81609,0.86608,0.90914,0.76629,0.81609,0.86608,0.90943,0.70176,0.63248,1.14329,0.79261,0.87711,0,6.36888e-05,6.36888e-05,6.36888e-05
48,124.366,0.56621,0.76095,0.61418,0.80295,0,0.84572,0.8283,0.90835,0.76509,0.84572,0.8283,0.90852,0.70851,0.62909,1.10558,0.80095,0.8754,0,4.95516e-05,4.95516e-05,4.95516e-05
49,126.83,0.57198,0.77249,0.60433,0.81225,0,0.85231,0.83031,0.90908,0.76886,0.85231,0.83031,0.90908,0.7089,0.61429,1.11383,0.78722,0.87418,0,3.54144e-05,3.54144e-05,3.54144e-05
50,129.32,0.57133,0.76639,0.61,0.80688,0,0.84729,0.84474,0.91023,0.76938,0.84729,0.84474,0.91036,0.70908,0.61544,1.11612,0.77741,0.87425,0,2.12772e-05,2.12772e-05,2.12772e-05
